srcIata,dstIata, flights ,stage, duration 
LHR,JFK,21,3452,8
SZX,NKG,21,699,2
NKG,SZX,21,699,2
ACE,LPA,21,129,1
LPA,ACE,21,129,1
BLR,HYD,21,281,1
HYD,BLR,21,281,1
BIR,KTM,21,147,1
KTM,BIR,21,147,1
SEZ,PRI,21,27,1
KOA,HNL,21,163,1
HNL,KOA,21,163,1
PRI,SEZ,20,27,1
MNL,DVO,20,597,1
DVO,MNL,20,597,1
LAX,SEA,20,954,2
SEA,LAX,20,954,2
AMD,DEL,20,471,1
DEL,AMD,20,471,1
PHX,SEA,20,1107,2
KTM,BWA,20,120,1
BWA,KTM,20,120,1
SEA,PHX,20,1107,2
LAS,SAN,20,258,1
CAN,XIY,20,809,2
SAN,LAS,20,258,1
XIY,CAN,20,809,2
AHB,RUH,20,530,1
RUH,AHB,20,530,1
BOS,ORD,20,867,2
ORD,BOS,20,867,2
LAS,DEN,20,629,1
CJU,PUS,20,181,1
PUS,CJU,20,181,1
DEN,LAS,20,629,1
PEK,CKG,20,909,2
CKG,PEK,20,909,2
SZX,PKX,20,1172,3
PKX,SZX,20,1172,3
PVG,SHE,20,730,2
SHE,PVG,20,730,2
SCL,CJC,20,759,2
CWB,CGH,20,206,1
MAA,DEL,20,1090,2
DEL,MAA,20,1090,2
CGH,CWB,20,206,1
HNL,MKK,20,54,1
MKK,HNL,19,54,1
CJC,SCL,19,759,2
ORD,LAX,19,1745,4
PVG,DLC,19,539,1
DLC,PVG,19,539,1
LAX,ORD,19,1745,4
SAN,SFO,19,447,1
SFO,SAN,19,447,1
LGA,BOS,19,185,1
BOS,LGA,19,185,1
CXB,DAC,19,193,1
DAC,CXB,19,193,1
SPC,TFN,19,87,1
TFN,SPC,19,87,1
PDX,SEA,19,129,1
XMN,SHA,19,504,1
SEA,PDX,19,129,1
HKG,PVG,19,779,2
PVG,HKG,19,779,2
SEA,SFO,19,679,2
SFO,SEA,19,679,2
DFW,LGA,19,1389,3
LGA,DFW,19,1389,3
TRD,OSL,19,226,1
SHA,XMN,19,504,1
CAN,CTU,19,759,2
CTU,CAN,19,759,2
SEA,ANC,19,1448,3
OSL,TRD,19,226,1
ANC,SEA,19,1448,3
DCA,ATL,19,547,1
ATL,DCA,19,547,1
BOG,SMR,19,441,1
SMR,BOG,19,441,1
PVG,HRB,19,1027,2
SAW,AYT,19,287,1
AYT,SAW,19,287,1
CGP,DAC,19,142,1
HYD,BOM,19,388,1
DCA,ORD,19,612,1
BOM,HYD,19,388,1
ORD,DCA,19,612,1
OSL,BGO,19,202,1
WLG,AKL,19,298,1
CJU,TAE,18,205,1
KUL,LGK,18,280,1
LGK,KUL,18,280,1
TAE,CJU,18,205,1
SZX,PVG,18,765,2
DFW,ORD,18,802,2
ORD,DFW,18,802,2
PVG,SZX,18,765,2
AKL,WLG,18,298,1
SVO,KGD,18,671,1
KGD,SVO,18,671,1
SFO,JFK,18,2586,6
JFK,SFO,18,2586,6
LIS,MAD,18,319,1
MAD,LIS,18,319,1
BGO,OSL,18,202,1
GEG,SEA,18,223,1
SEA,GEG,18,223,1
MAD,PMI,18,340,1
PMI,MAD,18,340,1
BKK,SIN,18,877,2
SIN,BKK,18,877,2
ATL,DFW,18,732,2
DFW,ATL,18,732,2
ADL,SYD,18,725,2
SYD,ADL,18,725,2
XIY,HGH,18,742,2
HGH,XIY,18,742,2
CCU,BOM,18,1037,2
HRB,PVG,18,1027,2
EWR,MCO,18,938,2
MCO,EWR,18,938,2
DFW,LAX,18,1235,3
LAX,DFW,18,1235,3
HND,KMJ,18,544,1
KMJ,HND,18,544,1
BOM,CCU,18,1037,2
NRT,HKG,18,1842,4
HKG,NRT,18,1842,4
ATL,FLL,18,581,1
FLL,ATL,18,581,1
CAN,KMG,18,664,1
KMG,CAN,18,664,1
MNL,ILO,18,280,1
CTU,HGH,18,984,2
HGH,CTU,18,984,2
ILO,MNL,18,280,1
CAN,TFU,18,724,2
TFU,CAN,18,724,2
AMD,BOM,18,274,1
BOM,AMD,18,274,1
ANF,SCL,18,685,2
CGK,BPN,18,781,2
BPN,CGK,18,781,2
DFW,IAH,18,224,1
MSP,ORD,18,334,1
IAH,DFW,18,224,1
ORD,MSP,18,334,1
DAC,CGP,18,142,1
HGH,CKG,18,828,2
CKG,HGH,18,828,2
KIX,TPE,18,1058,2
TPE,KIX,18,1058,2
SEA,DEN,18,1024,2
SCL,ANF,18,685,2
PLM,CGK,18,260,1
CGK,PLM,18,260,1
DEN,SEA,18,1024,2
LAS,PHX,17,256,1
KHH,MZG,17,83,1
PHX,LAS,17,256,1
MZG,KHH,17,83,1
JED,DXB,17,1057,2
DXB,JED,17,1057,2
HNL,ITO,17,216,1
ITO,HNL,17,216,1
BOM,MAA,17,642,1
OOL,MEL,17,825,2
MEL,OOL,17,825,2
PER,MEL,17,1681,4
MAA,BOM,17,642,1
GYE,UIO,17,175,1
ARK,ZNZ,17,266,1
CAN,CGO,17,767,2
LPA,FUE,17,99,1
ORD,DEN,17,888,2
FUE,LPA,17,99,1
CGO,CAN,17,767,2
ATL,MIA,17,595,1
DEN,ORD,17,888,2
MIA,ATL,17,595,1
DMM,RUH,17,219,1
RUH,DMM,17,219,1
UIO,GYE,17,175,1
KMI,HND,17,542,1
HND,KMI,17,542,1
PVG,CKG,17,909,2
ORD,ATL,17,606,1
MCO,SJU,17,1189,3
ATL,ORD,17,606,1
YVR,YEG,17,504,1
YEG,YVR,17,504,1
SJU,MCO,17,1189,3
POA,GRU,17,537,1
GRU,POA,17,537,1
XIY,SHA,17,765,2
MEL,PER,17,1681,4
DEN,MSP,17,680,2
MSP,DEN,17,680,2
PVG,CAN,17,746,2
DPS,SIN,17,1037,2
SIN,DPS,17,1037,2
SFO,LAS,17,414,1
LAS,SFO,17,414,1
EWR,ATL,17,745,2
FCO,CTA,17,335,1
ATL,EWR,17,745,2
CTA,FCO,17,335,1
ATL,TPA,17,406,1
CAN,PVG,17,746,2
HKG,ICN,17,1284,3
ICN,HKG,17,1284,3
KIX,HKG,17,1539,3
LGA,MIA,17,1097,2
HKG,KIX,17,1539,3
MIA,LGA,17,1097,2
TPA,ATL,17,406,1
BOG,BGA,17,179,1
BGA,BOG,17,179,1
LIM,AQP,17,476,1
CGO,SZX,17,818,2
SHA,XIY,17,765,2
SZX,KMG,17,708,2
KMG,SZX,17,708,2
SVG,OSL,17,212,1
MZG,TSA,17,159,1
TSA,MZG,17,159,1
SZX,CGO,17,818,2
OSL,SVG,17,212,1
DMK,HDY,17,480,1
HDY,DMK,17,480,1
AQP,LIM,17,476,1
DEN,DFW,17,641,1
DFW,DEN,17,641,1
MEX,TIJ,17,1429,3
TIJ,MEX,16,1429,3
HKG,MNL,16,710,2
MNL,HKG,16,710,2
CPH,OSL,16,323,1
ORD,DTW,16,235,1
CKG,PVG,16,909,2
LHR,DUB,16,280,1
DTW,ORD,16,235,1
DUB,LHR,16,280,1
EWR,ORD,16,719,2
ORD,EWR,16,719,2
OSL,CPH,16,323,1
KHG,URC,16,664,1
URC,KHG,16,664,1
HAK,CAN,16,300,1
LGA,CLT,16,543,1
CCU,BLR,16,960,2
CLT,LGA,16,543,1
CAN,HAK,16,300,1
CJU,KWJ,16,113,1
KWJ,CJU,16,113,1
HGH,KMG,16,1128,3
KMG,HGH,16,1128,3
LPA,MAD,16,1096,2
MAD,LPA,16,1096,2
BZE,DGA,16,38,1
BKK,TPE,16,1546,3
TPE,BKK,16,1546,3
SEA,LAS,16,866,2
BLR,CCU,16,960,2
LAS,SEA,16,866,2
TSA,KNH,16,206,1
KMG,XIY,16,731,2
KNH,TSA,16,206,1
XIY,KMG,16,731,2
ORD,IAH,16,925,2
IAH,ORD,16,925,2
DXB,KWI,16,530,1
KWI,DXB,16,530,1
MED,RUH,16,440,1
RUH,MED,16,440,1
MCO,ORD,16,1005,2
ORD,MCO,16,1005,2
CGO,KMG,16,920,2
KMG,CGO,16,920,2
CGK,PNK,16,452,1
SAN,PHX,16,304,1
ORY,NCE,16,420,1
PHX,SAN,16,304,1
NCE,ORY,16,420,1
ADB,IST,16,221,1
IST,ADB,16,221,1
NKG,CKG,16,740,2
PNK,CGK,16,452,1
ORD,YYZ,16,437,1
YYZ,ORD,16,437,1
SLC,PHX,16,507,1
PHX,SLC,16,507,1
KMG,PKX,16,1264,3
MNL,BCD,16,295,1
AMS,LHR,16,231,1
BCD,MNL,16,295,1
LHR,AMS,16,231,1
ATH,SKG,16,186,1
ATL,BWI,16,576,1
PKX,KMG,16,1264,3
PEI,BOG,16,111,1
YVR,YYJ,16,39,1
SKG,ATH,16,186,1
BOG,PEI,16,111,1
XIY,URC,16,1311,3
YYJ,YVR,16,39,1
URC,XIY,16,1311,3
DEL,SXR,16,398,1
BWI,ATL,16,576,1
CKG,NKG,16,740,2
SXR,DEL,16,398,1
ICN,PVG,15,510,1
PVG,ICN,15,510,1
LXA,CTU,15,787,2
AYT,IST,15,320,1
XIY,PKX,15,549,1
PKX,XIY,15,549,1
PHL,ATL,15,665,1
ATL,PHL,15,665,1
ZNZ,ARK,15,266,1
IST,AYT,15,320,1
FRA,LHR,15,408,1
LHR,FRA,15,408,1
SJC,LAX,15,308,1
LAS,DFW,15,1055,2
CTU,LXA,15,787,2
GMP,PUS,15,202,1
CPH,ARN,15,342,1
PUS,GMP,15,202,1
DFW,LAS,15,1055,2
SMF,LAX,15,373,1
FCO,PMO,15,254,1
PMO,FCO,15,254,1
CGQ,PVG,15,911,2
LAX,SMF,15,373,1
FCO,MAD,15,828,2
MAD,FCO,15,828,2
LAX,SJC,15,308,1
TFN,MAD,15,1100,2
SGN,PQC,15,187,1
MAD,TFN,15,1100,2
PQC,SGN,15,187,1
ARN,CPH,15,342,1
ICN,TAO,15,346,1
TAO,ICN,15,346,1
ESB,IST,15,237,1
IST,ESB,15,237,1
ATL,DEN,15,1199,3
YEG,YYZ,15,1676,4
MHD,THR,15,468,1
YYZ,YEG,15,1676,4
DEN,ATL,15,1199,3
