srcIata,dstIata, flights ,stage, duration 
HYD,VGA,6,164,1
LJG,TFU,6,356,1
VGA,HYD,6,164,1
HRB,CGO,6,1007,2
SGN,DLI,6,133,1
XMN,TNA,6,855,2
CLT,LAS,6,1917,4
FRA,BRU,6,190,1
TNA,XMN,6,855,2
DLM,IST,6,314,1
LAS,CLT,6,1917,4
MSY,DAL,6,437,1
SWA,PKX,6,1099,2
DAL,MSY,6,437,1
PKX,SWA,6,1099,2
QRO,MTY,6,357,1
DUB,AGP,6,1161,3
MCY,MEL,6,902,2
MEL,MCY,6,902,2
VCP,CWB,6,216,1
AGP,DUB,6,1161,3
ATL,SRQ,6,445,1
BEY,IST,6,633,1
CWB,VCP,6,216,1
IST,DLM,6,314,1
SRQ,ATL,6,445,1
DUS,VIE,6,491,1
VIE,DUS,6,491,1
YVR,YUL,6,2295,5
LAS,LGB,6,231,1
LGB,LAS,6,231,1
PHX,BOI,6,735,2
BRU,FRA,6,190,1
SMF,SNA,6,404,1
SNA,SMF,6,404,1
IST,BEY,6,633,1
YUL,YVR,6,2295,5
BDL,ATL,6,859,2
BOI,PHX,6,735,2
BDL,ORD,6,783,2
GSO,LGA,6,461,1
LGA,GSO,6,461,1
ORD,BDL,6,783,2
ATL,BDL,6,859,2
AYT,BER,6,1359,3
HGH,NNG,6,923,2
MFR,SEA,6,352,1
NNG,HGH,6,923,2
ORD,FAR,6,557,1
ATH,JMK,6,84,1
JMK,ATH,6,84,1
AMM,IST,6,772,2
ATL,LIT,6,453,1
CPH,WAW,6,415,1
LIT,ATL,6,453,1
SEA,MFR,6,352,1
WAW,CPH,6,415,1
FAR,ORD,6,557,1
PHL,PHX,6,2075,5
PHX,PHL,6,2075,5
ZUH,SHA,6,801,2
DLC,XIY,6,775,2
RDU,DFW,6,1062,2
XIY,DLC,6,775,2
BHD,LHR,6,313,1
LHR,BHD,6,313,1
MDT,CLT,6,412,1
YQR,YYC,6,412,1
BER,AYT,6,1359,3
DFW,RDU,6,1062,2
DTW,BWI,6,408,1
CLT,MDT,6,412,1
DEN,MSY,6,1062,2
YYC,YQR,6,412,1
BWI,DTW,6,408,1
AMS,BRS,6,326,1
BRI,FCO,6,240,1
BRS,AMS,6,326,1
CLT,FAY,6,118,1
FAY,CLT,6,118,1
FCO,BRI,6,240,1
MEX,PTY,6,1498,3
PTY,MEX,6,1498,3
FLL,DCA,6,899,2
MSY,HOU,6,303,1
BOM,JED,6,2189,5
DCA,FLL,6,899,2
ORD,SNA,6,1726,4
SNA,ORD,6,1726,4
HOU,MSY,6,303,1
LXA,XIY,6,1105,2
CSX,NKG,6,417,1
DFW,MEX,6,935,2
LIS,FRA,6,1166,3
MEX,DFW,6,935,2
MEX,ORD,6,1686,4
AOJ,ITM,6,502,1
DFW,BHM,6,597,1
FRA,LIS,6,1166,3
ITM,AOJ,6,502,1
XIY,LXA,6,1105,2
HGU,POM,6,319,1
ORD,MEX,6,1686,4
BHM,DFW,6,597,1
JFK,PUJ,6,1554,3
PUJ,JFK,6,1554,3
AKU,URC,6,712,2
NKG,CSX,6,417,1
URC,AKU,6,712,2
JNB,MQP,6,186,1
YHZ,YOW,6,595,1
YOW,YHZ,6,595,1
CUN,JFK,6,1555,3
JFK,CUN,6,1555,3
MCO,CMH,6,802,2
SAT,LAS,6,1069,2
CMH,MCO,6,802,2
JED,BOM,6,2189,5
ATL,MKE,6,669,1
MKE,ATL,6,669,1
IST,AMM,6,772,2
TUS,DFW,6,813,2
WAW,CDG,6,837,2
CDG,WAW,6,837,2
DFW,TUS,6,813,2
BLR,PAT,6,978,2
MSY,DEN,6,1062,2
PAT,BLR,6,978,2
DGA,TZA,6,37,1
GAU,BLR,6,1265,3
ORD,TUL,6,585,1
ZUH,TFU,6,795,2
IAD,MCO,6,758,2
MCO,IAD,6,758,2
OAK,LAX,6,337,1
TUL,ORD,6,585,1
BUF,LGA,6,292,1
LGA,BUF,6,292,1
SYZ,THR,6,430,1
FRA,PRG,6,253,1
MHD,NJF,6,920,2
MUC,PMI,6,756,2
PMI,MUC,6,756,2
TFU,ZUH,6,795,2
CUE,UIO,6,193,1
PRG,FRA,6,253,1
UIO,CUE,6,193,1
VBY,ARN,6,139,1
ARN,VBY,6,139,1
REC,VCP,6,1306,3
VCP,REC,6,1306,3
EBB,NBO,6,324,1
NBO,EBB,6,324,1
TFN,VDE,6,105,1
VDE,TFN,6,105,1
CPH,FRA,6,421,1
FRA,CPH,6,421,1
ATL,TLH,6,223,1
SGN,CAN,6,969,2
TLH,ATL,6,223,1
CAN,SGN,6,969,2
IAH,MSP,6,1034,2
JNB,WDH,6,724,2
MSP,IAH,6,1034,2
OSL,AES,6,232,1
WDH,JNB,6,724,2
HYD,GOI,6,331,1
SFO,YYZ,6,2260,5
THR,SYZ,6,430,1
YYZ,SFO,6,2260,5
AES,OSL,6,232,1
EWR,SJU,6,1608,4
ICN,OKA,6,779,2
OKA,ICN,6,779,2
CPH,ZRH,6,590,1
LAS,SAT,6,1069,2
SJU,EWR,6,1608,4
ZRH,CPH,6,590,1
CGO,FOC,6,686,2
FOC,CGO,6,686,2
PBI,BOS,6,1197,3
BOS,PBI,6,1197,3
DEN,DSM,6,589,1
DSM,DEN,6,589,1
BEY,DXB,6,1331,3
IDR,BOM,6,315,1
LAX,OAK,6,337,1
MUC,WAW,6,484,1
PHX,STL,6,1262,3
BOM,IDR,6,315,1
SJO,ACO,6,64,1
WAW,MUC,6,484,1
CGN,MUC,6,271,1
MUC,CGN,6,271,1
ZRH,BCN,6,532,1
ATH,FRA,6,1129,3
BCN,ZRH,6,532,1
FRA,ATH,6,1129,3
NGB,TAO,6,448,1
TAO,NGB,6,448,1
KMG,NGB,6,1181,3
FRA,MXP,6,305,1
NGB,KMG,6,1181,3
POM,LAE,6,200,1
CCU,BBI,6,237,1
DFW,HOU,6,247,1
HOU,DFW,6,247,1
LAE,POM,6,200,1
NAG,DEL,6,529,1
MXP,FRA,6,305,1
XIY,FOC,6,876,2
DXB,BEY,6,1331,3
DTW,IAD,6,383,1
NJF,MHD,6,920,2
FOC,XIY,6,876,2
GES,MNL,6,644,1
IAD,DTW,6,383,1
LCY,LIN,6,595,1
LIN,LCY,6,595,1
MNL,GES,6,644,1
SSA,BSB,6,673,1
GOI,HYD,6,331,1
LGA,MSP,6,1020,2
TFU,WUX,6,952,2
LUN,NLA,6,168,1
WUX,TFU,6,952,2
KCH,MYY,6,318,1
MYY,KCH,6,318,1
STL,PHX,6,1262,3
BBI,CCU,6,237,1
EWR,YUL,6,330,1
MDW,DAL,6,793,2
MSP,LGA,6,1020,2
CGR,GRU,6,564,1
GRU,CGR,6,564,1
YUL,EWR,6,330,1
BSB,SSA,6,673,1
PIT,BOS,6,496,1
XIY,ZUH,6,901,2
BOS,PIT,6,496,1
DAL,MDW,6,793,2
LJG,JHG,6,323,1
ZUH,XIY,6,901,2
SIN,DEL,6,2580,6
DEL,SIN,6,2580,6
CTA,LIN,6,627,1
JHG,LJG,6,323,1
CCS,PMV,6,216,1
LIN,CTA,6,627,1
DPS,LBJ,6,323,1
HKG,TFU,6,804,2
LBJ,DPS,6,323,1
TFU,HKG,6,804,2
DMK,CGK,6,1438,3
ICN,GUM,6,2001,4
CGK,DMK,6,1438,3
DOH,KWI,6,352,1
KWI,DOH,6,352,1
ATH,JNX,6,98,1
CSX,SHE,6,1093,2
JNX,ATH,6,98,1
DXB,ADD,6,1562,3
FCO,ZRH,6,431,1
RPR,DEL,6,586,1
ZRH,FCO,6,431,1
DEL,RPR,6,586,1
PMV,CCS,6,216,1
GUM,ICN,6,2001,4
DEL,NAG,6,529,1
DUS,ZRH,6,276,1
LIT,ORD,6,552,1
ORD,LIT,6,552,1
ZRH,DUS,6,276,1
JFK,PBI,6,1028,2
ORD,RIC,6,642,1
PBI,JFK,6,1028,2
RIC,ORD,6,642,1
DLC,CAN,6,1177,3
MSP,DTW,6,528,1
KMG,TSN,6,1280,3
TSN,KMG,6,1280,3
AXM,BOG,6,113,1
BOG,AXM,6,113,1
CAN,DLC,6,1177,3
ORD,ICT,6,588,1
BCN,DUB,6,924,2
CDG,FLR,6,547,1
DTW,MSP,6,528,1
DUB,BCN,6,924,2
FLR,CDG,6,547,1
HAN,HUI,6,354,1
ICT,ORD,6,588,1
PMI,LGW,6,813,2
UEO,OKA,6,59,1
KHN,XIY,6,570,1
NSN,CHC,6,155,1
ACO,SJO,6,64,1
ALB,ORD,6,723,2
AOJ,HND,6,361,1
AXT,ITM,6,425,1
BOM,DOH,6,1424,3
CTS,MMB,6,147,1
HND,AOJ,6,361,1
HND,KUH,6,568,1
HND,YGJ,6,368,1
ITM,AXT,6,425,1
ITM,KCZ,6,132,1
KCZ,ITM,6,132,1
KUH,HND,6,568,1
MMB,CTS,6,147,1
NGO,SDJ,6,321,1
ORD,ALB,6,723,2
SDJ,NGO,6,321,1
YGJ,HND,6,368,1
DOH,BOM,6,1424,3
LGW,PMI,6,813,2
SYD,WGA,6,228,1
WGA,SYD,6,228,1
XIY,KHN,6,570,1
ZUH,CKG,6,676,2
DUS,SAW,6,1291,3
SAW,DUS,6,1291,3
JAX,CLT,6,329,1
SHE,CSX,6,1093,2
CKG,ZUH,6,676,2
GJT,DEN,6,212,1
SIT,JNU,6,95,1
SZX,WNZ,6,571,1
DEN,GJT,6,212,1
CLT,JAX,6,329,1
DRO,DEN,6,251,1
LHR,YYZ,6,3556,8
SBH,PTP,6,142,1
YYZ,LHR,6,3556,8
AUH,JED,6,1004,2
DEN,DRO,6,251,1
JED,AUH,6,1004,2
EDI,STN,6,317,1
STN,EDI,6,317,1
HUI,HAN,6,354,1
WNZ,SZX,6,571,1
AVL,CLT,6,92,1
CLT,AVL,6,92,1
ADD,DXB,6,1562,3
CEK,SVO,6,939,2
CTU,SYX,6,912,2
HKG,LHR,6,5995,13
LHR,HKG,6,5995,13
SVO,CEK,6,939,2
HGH,ZUH,6,716,2
IKA,NJF,6,454,1
KUL,SZX,6,1590,4
SYX,CTU,6,912,2
SZX,KUL,6,1590,4
CNF,REC,6,997,2
TRV,BLR,6,329,1
ZUH,HGH,6,716,2
ALG,ORN,6,226,1
REC,CNF,6,997,2
BLR,TRV,6,329,1
DCA,TPA,6,814,2
TPA,DCA,6,814,2
YMM,YYC,6,400,1
YYC,YMM,6,400,1
LAX,SJD,6,910,2
SJD,LAX,6,910,2
HAM,VIE,6,477,1
LHR,SFO,6,5368,12
SFO,LHR,6,5368,12
SPN,TIQ,6,11,1
TIQ,SPN,6,11,1
VIE,HAM,6,477,1
BCN,VIE,6,852,2
LGA,GSP,6,610,1
LIS,MXP,6,1028,2
URC,NKG,6,1896,4
VIE,BCN,6,852,2
YYZ,PHL,6,347,1
GSP,LGA,6,610,1
GTZ,SEU,6,46,1
MXP,LIS,6,1028,2
PHL,YYZ,6,347,1
PIT,MCO,6,834,2
SJW,CAN,6,1029,2
STL,MSP,6,448,1
AWZ,THR,6,334,1
CAN,SJW,6,1029,2
HND,HNL,6,3854,9
HNL,HND,6,3854,9
LOS,ACC,6,250,1
NKG,URC,6,1896,4
SAN,AUS,6,1164,3
ACC,LOS,6,250,1
AUS,SAN,6,1164,3
JFK,MEX,6,2090,5
MSP,STL,6,448,1
SSA,CNF,6,594,1
LAX,ABQ,6,677,2
MEX,JFK,6,2090,5
SLC,IAH,6,1195,3
THR,AWZ,6,334,1
ABQ,LAX,6,677,2
CNF,SSA,6,594,1
IAH,SLC,6,1195,3
KBR,SZB,6,215,1
LIM,PTY,6,1458,3
PTY,LIM,6,1458,3
CAN,ICN,6,1244,3
ICN,CAN,6,1244,3
SZB,XSP,6,199,1
XSP,SZB,6,199,1
SZB,KBR,6,215,1
CHC,NSN,6,155,1
BUD,TLV,6,1346,3
CDG,HEL,6,1181,3
DFW,HSV,6,603,1
FOR,CGH,6,1469,3
HEL,CDG,6,1181,3
TLV,BUD,6,1346,3
BOS,MSP,6,1124,2
CNX,HKT,6,734,2
MSP,BOS,6,1124,2
SYD,CFS,6,274,1
CFS,SYD,6,274,1
IAD,SAL,6,1894,4
JAI,BLR,6,945,2
MCO,PIT,6,834,2
SAL,IAD,6,1894,4
HSV,DFW,6,603,1
KHN,CKG,6,563,1
CKG,KHN,6,563,1
LEQ,ISC,6,31,1
SDQ,MIA,6,848,2
MIA,SDQ,6,848,2
DXB,DAC,6,2202,5
HYD,RJA,6,222,1
RJA,HYD,6,222,1
ZUH,CGO,6,862,2
KOJ,TKN,6,295,1
TKN,KOJ,6,295,1
CGO,ZUH,6,862,2
DFW,SHV,6,190,1
HOU,PHX,6,1020,2
SHV,DFW,6,190,1
CGH,FOR,6,1469,3
GCI,LGW,6,159,1
LGW,GCI,6,159,1
LIS,ZRH,6,1072,2
OKA,UEO,6,59,1
PER,ZNE,6,632,1
ZNE,PER,6,632,1
MUC,ZRH,6,162,1
ZRH,LIS,6,1072,2
ZRH,MUC,6,162,1
HKG,SHA,6,764,2
SHA,HKG,6,764,2
IND,JFK,6,664,1
JFK,IND,6,664,1
BAH,KWI,6,261,1
GVA,BRU,6,331,1
KWI,BAH,6,261,1
JFK,DFW,6,1391,3
ATL,SJU,6,1547,3
NLA,LUN,6,168,1
CKG,WNZ,6,871,2
DFW,JFK,6,1391,3
BRU,GVA,6,331,1
PHX,HOU,6,1020,2
SJU,ATL,6,1547,3
WNZ,CKG,6,871,2
CTU,XMN,6,965,2
GDQ,ADD,6,260,1
HKD,OKD,6,97,1
OKD,HKD,6,97,1
ARN,GOT,6,246,1
DPS,SYD,6,2871,6
KRK,WAW,6,153,1
ORN,ALG,6,226,1
SYD,DPS,6,2871,6
WAW,KRK,6,153,1
NKG,NNG,6,909,2
NNG,NKG,6,909,2
SVO,EVN,6,1139,3
EVN,SVO,6,1139,3
XMN,CTU,6,965,2
GOT,ARN,6,246,1
PDL,TER,6,104,1
CAN,XMN,6,314,1
FCO,JFK,6,4277,10
IND,EWR,6,644,1
JFK,FCO,6,4277,10
TER,PDL,6,104,1
TNA,XIY,6,505,1
XMN,CAN,6,314,1
EWR,IND,6,644,1
XIY,TNA,6,505,1
YYZ,IAD,6,346,1
MEL,MQL,6,282,1
MQL,MEL,6,282,1
CJS,MEX,6,957,2
FLL,BNA,6,793,2
JFK,PIT,6,340,1
MEX,CJS,6,957,2
BNA,FLL,6,793,2
HSV,CLT,6,334,1
IAD,YYZ,6,346,1
PIT,JFK,6,340,1
BTR,IAH,6,253,1
IAH,BTR,6,253,1
LAX,BNA,6,1797,4
NRT,OKA,6,1002,2
OKA,NRT,6,1002,2
BNA,LAX,6,1797,4
CKG,SJW,6,749,2
CLT,HSV,6,334,1
GRU,MAO,6,1671,4
SJW,CKG,6,749,2
YYC,YQU,6,346,1
MAO,GRU,6,1671,4
YQU,YYC,6,346,1
UPG,BPN,6,319,1
KGS,ATH,6,190,1
PVG,SGN,6,1702,4
ZUH,HAK,6,236,1
ATH,KGS,6,190,1
DTW,MDW,6,229,1
GRU,BPS,6,680,2
HAK,ZUH,6,236,1
MDW,DTW,6,229,1
SGN,PVG,6,1702,4
SLA,AEP,6,791,2
MCI,MDW,6,405,1
IAH,SEA,6,1874,4
SGN,VCL,6,345,1
HAN,VCA,6,768,2
VCA,HAN,6,768,2
SEA,IAH,6,1874,4
BPS,GRU,6,680,2
CGO,HRB,6,1007,2
AUH,KWI,6,528,1
CUN,ORD,6,1444,3
KWI,AUH,6,528,1
ORD,CUN,6,1444,3
SPB,SSB,6,44,1
SSB,SPB,6,44,1
ORD,MSY,6,837,2
ELP,IAH,6,667,1
GRR,DTW,6,120,1
IAH,ELP,6,667,1
KWE,TNA,6,938,2
XIY,WUX,6,708,2
DTW,GRR,6,120,1
TNA,KWE,6,938,2
WUX,XIY,6,708,2
IXB,CCU,6,277,1
LAX,TPE,6,6799,15
TPE,LAX,6,6799,15
DCA,MDW,6,601,1
LHR,WAW,6,916,2
MDW,DCA,6,601,1
MSY,ORD,6,837,2
SZX,TYN,6,1043,2
WAW,LHR,6,916,2
CCU,IXB,6,277,1
ECN,ADB,6,412,1
LAX,FLL,6,2342,5
NKG,ZUH,6,750,2
TYN,SZX,6,1043,2
UPG,DPS,6,394,1
YQQ,YVR,6,85,1
ZUH,NKG,6,750,2
ADB,ECN,6,412,1
SIN,USM,6,624,1
USM,SIN,6,624,1
WUH,SWA,6,518,1
YVR,YQQ,6,85,1
FLL,LAX,6,2342,5
LGA,ORF,6,296,1
ORF,LGA,6,296,1
SWA,WUH,6,518,1
TFU,TYN,6,696,2
DPS,UPG,6,394,1
TYN,TFU,6,696,2
SEU,GTZ,6,46,1
SLC,SMF,6,532,1
SMF,ONT,6,389,1
YUL,CDG,6,3443,8
PIT,PHL,6,267,1
SMF,SLC,6,532,1
SSA,VCP,6,903,2
VCP,SSA,6,903,2
BOG,GRU,6,2689,6
BPN,UPG,6,319,1
CDG,YUL,6,3443,8
CLT,BHM,6,352,1
GRU,BOG,6,2689,6
PHL,PIT,6,267,1
TUN,CDG,6,924,2
BHM,CLT,6,352,1
BKK,BOM,6,1886,4
HOU,LAS,6,1235,3
LCY,EDI,6,337,1
BCN,OPO,6,560,1
BOM,BKK,6,1886,4
EDI,LCY,6,337,1
MDW,MCI,6,405,1
OPO,BCN,6,560,1
BCN,BIO,6,291,1
BIO,BCN,6,291,1
CDG,CMN,6,1199,3
CDG,TUN,6,924,2
CMN,CDG,6,1199,3
TFU,SWA,6,876,2
CLJ,OTP,6,193,1
DFW,IND,6,762,2
ONT,SMF,6,389,1
OTP,CLJ,6,193,1
SWA,TFU,6,876,2
IND,DFW,6,762,2
NKG,SWA,6,582,1
NQN,AEP,6,619,1
RSW,EWR,6,1068,2
SDF,DFW,6,733,2
VCL,SGN,6,345,1
HYD,DXB,6,1584,4
SWA,NKG,6,582,1
DXB,HYD,6,1584,4
EWR,RSW,6,1068,2
FNC,OPO,6,740,2
ICT,DEN,6,419,1
OPO,FNC,6,740,2
DFW,SDF,6,733,2
CAG,LIN,6,428,1
DEN,ICT,6,419,1
LIN,CAG,6,428,1
KMG,WUX,6,1151,3
DXB,VKO,6,2285,5
NNG,PVG,6,1024,2
VIE,BRU,6,576,1
WUX,KMG,6,1151,3
ZUH,PVG,6,816,2
VKO,DXB,6,2285,5
CGQ,SZX,6,1620,4
DEN,PSP,6,776,2
PNS,CLT,6,489,1
SZX,CGQ,6,1620,4
CLT,PNS,6,489,1
PHX,BOS,6,2300,5
PSP,DEN,6,776,2
ACX,KWE,6,152,1
BOS,PHX,6,2300,5
KWE,ACX,6,152,1
LAS,HOU,6,1235,3
NJF,IKA,6,454,1
ADD,GDQ,6,260,1
CPO,SCL,6,420,1
CUL,TIJ,6,786,2
SCL,CPO,6,420,1
TIJ,CUL,6,786,2
FLL,TPA,6,197,1
SAL,LAX,6,2319,5
DCA,YYZ,6,359,1
LAX,SAL,6,2319,5
SIN,SUB,6,854,2
SUB,SIN,6,854,2
TPA,FLL,6,197,1
YYZ,DCA,6,359,1
CLT,YYZ,6,588,1
REN,SVO,6,777,2
SAW,SZF,6,379,1
YYZ,CLT,6,588,1
PMI,MAN,6,982,2
SVO,REN,6,777,2
BRU,VIE,6,576,1
CGK,JED,6,4954,11
CDG,OSL,6,845,2
MCO,PTY,6,1338,3
OSL,CDG,6,845,2
PTY,MCO,6,1338,3
DGA,PLJ,6,32,1
HAK,KHN,6,703,2
JED,CGK,6,4954,11
KHN,HAK,6,703,2
SZF,SAW,6,379,1
MED,JED,6,201,1
BDL,MCO,6,1050,2
CGQ,TNA,6,664,1
LAX,SAT,6,1210,3
LIN,BRU,6,437,1
MCO,BDL,6,1050,2
NNG,XIY,6,815,2
SAT,LAX,6,1210,3
TNA,CGQ,6,664,1
CHC,IVC,6,289,1
XIY,NNG,6,815,2
RUH,IST,6,1525,3
AEP,SLA,6,791,2
BOS,IAH,6,1597,4
IVC,CHC,6,289,1
IAH,BOS,6,1597,4
MAN,PMI,6,982,2
AYT,MAN,6,1948,4
BRU,LIN,6,437,1
CGQ,CGO,6,910,2
MSY,AUS,6,445,1
BPN,BEJ,6,242,1
FCO,TLV,6,1418,3
LHR,HEL,6,1152,3
MAN,AYT,6,1948,4
AUS,MSY,6,445,1
BTR,DFW,6,383,1
CDG,LIS,6,914,2
HEL,LHR,6,1152,3
KNO,PEN,6,148,1
LIS,CDG,6,914,2
PEN,KNO,6,148,1
DFW,BTR,6,383,1
DXB,LHE,6,1235,3
IST,RUH,6,1525,3
PEK,WNZ,6,872,2
TUL,IAH,6,429,1
BRS,DUB,6,206,1
CHC,DUD,6,204,1
DUB,BRS,6,206,1
IAH,TUL,6,429,1
LHE,DXB,6,1235,3
DUD,CHC,6,204,1
WNZ,PEK,6,872,2
BEJ,BPN,6,242,1
BLR,JAI,6,945,2
GVA,MAD,6,628,1
MAD,GVA,6,628,1
PMI,ZRH,6,619,1
SEA,AUS,6,1770,4
ZRH,PMI,6,619,1
AMS,ATH,6,1357,3
DCA,CMH,6,322,1
EWR,CLE,6,404,1
IAH,LFT,6,201,1
LFT,IAH,6,201,1
ATH,AMS,6,1357,3
AUS,SEA,6,1770,4
CLE,EWR,6,404,1
SVO,KJA,6,2091,5
CMH,DCA,6,322,1
IND,DCA,6,499,1
LAX,YYZ,6,2176,5
DCA,IND,6,499,1
YYZ,LAX,6,2176,5
LUN,HRE,6,250,1
MMK,SVO,6,898,2
KJA,SVO,6,2091,5
CUN,PTY,6,962,2
JNU,SIT,6,95,1
PTY,CUN,6,962,2
SZX,HAN,6,523,1
HAN,SZX,6,523,1
ISC,LEQ,6,31,1
RFP,PPT,6,135,1
WUH,TSN,6,601,1
CLT,TRI,6,120,1
WNZ,TFU,6,1005,2
TRI,CLT,6,120,1
CGO,CGQ,6,910,2
LED,ARH,6,467,1
TSN,WUH,6,601,1
DOH,BKK,6,3284,7
TFU,INC,6,565,1
DAL,MCI,6,460,1
BKK,DOH,6,3284,7
INC,TFU,6,565,1
LPA,TFS,6,73,1
MFM,PVG,6,796,2
ARH,LED,6,467,1
CZL,ALG,6,192,1
KUL,SDK,6,1148,3
LAS,BWI,6,2106,5
MCI,DAL,6,460,1
PVG,MFM,6,796,2
SDK,KUL,6,1148,3
TFS,LPA,6,73,1
FOR,REC,6,389,1
MOH,UPG,6,245,1
UPG,MOH,6,245,1
DAR,JRO,6,279,1
KHG,XIY,6,1834,4
MEX,MAD,6,5643,13
REC,FOR,6,389,1
DTW,SEA,6,1927,4
MAD,MEX,6,5643,13
PVG,ZUH,6,816,2
SEA,DTW,6,1927,4
CPH,VIE,6,545,1
RSW,MSP,6,1416,3
TFU,WNZ,6,1005,2
VIE,CPH,6,545,1
BRU,AGP,6,1078,2
DAC,SHJ,6,2192,5
BWI,LAS,6,2106,5
DEL,UDR,6,337,1
STL,LAS,6,1372,3
LAS,STL,6,1372,3
LHR,RUH,6,3072,7
RUH,LHR,6,3072,7
YYZ,YYT,6,1323,3
CLO,MDE,6,192,1
MSP,RSW,6,1416,3
UDR,DEL,6,337,1
DTW,IND,6,231,1
IND,DTW,6,231,1
YYT,YYZ,6,1323,3
ADD,DSE,6,157,1
CAN,CGQ,6,1585,4
DSE,ADD,6,157,1
HNL,LAS,6,2762,6
LAS,HNL,6,2762,6
LGW,JER,6,161,1
TLV,FCO,6,1418,3
XIY,KHG,6,1834,4
CGQ,XIY,6,1119,2
JER,LGW,6,161,1
MCO,PVD,6,1073,2
PQQ,SYD,6,199,1
PVD,MCO,6,1073,2
SYD,PQQ,6,199,1
AXJ,FUK,6,78,1
CTU,URC,6,1287,3
FUK,AXJ,6,78,1
JRO,ARK,6,31,1
YIW,PKX,6,736,2
PKX,YIW,6,736,2
COS,DFW,6,592,1
DFW,COS,6,592,1
INC,URC,6,1057,2
LCY,ZRH,6,473,1
XIY,CGQ,6,1119,2
ZRH,LCY,6,473,1
AGP,BRU,6,1078,2
IXJ,DEL,6,314,1
NNG,WUH,6,675,2
SHA,SWA,6,604,1
CPH,BRU,6,469,1
GEG,DEN,6,836,2
MQP,JNB,6,186,1
SWA,SHA,6,604,1
TSN,PVG,6,604,1
DEN,GEG,6,836,2
IKT,OVB,6,910,2
PVG,TSN,6,604,1
URC,INC,6,1057,2
MXP,PMO,6,561,1
URC,CTU,6,1287,3
CGQ,PEK,6,540,1
PEK,CGQ,6,540,1
PMO,MXP,6,561,1
WUH,NNG,6,675,2
YVR,ZNA,6,34,1
ZNA,YVR,6,34,1
BRU,CPH,6,469,1
CLT,STL,6,575,1
EWR,SEA,6,2401,5
LAS,BNA,6,1588,4
SEA,EWR,6,2401,5
PHL,MSP,5,980,2
PVG,NNG,5,1024,2
MSP,PHL,5,980,2
STL,CLT,5,575,1
CMB,DOH,5,2244,5
DOH,CMB,5,2244,5
KLW,KTN,5,58,1
CLT,CMH,5,346,1
NBO,KGL,5,472,1
OVB,IKT,5,910,2
PEE,SVO,5,722,2
CMH,CLT,5,346,1
DEL,IXJ,5,314,1
ISB,DXB,5,1196,3
KUL,TGG,5,205,1
SVO,PEE,5,722,2
TGG,KUL,5,205,1
BOM,IXC,5,835,2
GDN,WAW,5,185,1
JNB,VFA,5,575,1
WAW,GDN,5,185,1
BOG,PSO,5,309,1
IXC,BOM,5,835,2
PSO,BOG,5,309,1
FRA,GVA,5,286,1
GVA,FRA,5,286,1
KUL,TPE,5,2012,4
DXB,ISB,5,1196,3
TPE,KUL,5,2012,4
STX,SJU,5,94,1
OAK,PHX,5,646,1
PHX,OAK,5,646,1
PHX,OMA,5,1037,2
ALG,CZL,5,192,1
DCA,CVG,5,411,1
OMA,PHX,5,1037,2
PKX,NNG,5,1261,3
JED,ISB,5,2209,5
NNG,PKX,5,1261,3
YYC,YUL,5,1873,4
CVG,DCA,5,411,1
SJU,STX,5,94,1
HYD,VNS,5,633,1
JRO,ZNZ,5,242,1
PVG,FOC,5,381,1
STL,DAL,5,546,1
IAD,ORD,5,589,1
KIX,NRT,5,306,1
LGB,SMF,5,387,1
NRT,KIX,5,306,1
SMF,LGB,5,387,1
BOS,IND,5,817,2
SVO,MMK,5,898,2
VNS,HYD,5,633,1
YUL,YYC,5,1873,4
AER,OVB,5,2052,5
BNA,LAS,5,1588,4
IND,BOS,5,817,2
ORD,IAD,5,589,1
KWE,JJN,5,745,2
OVB,AER,5,2052,5
REC,SSA,5,403,1
DAL,STL,5,546,1
PDX,OAK,5,543,1
DMM,MED,5,643,1
MED,DMM,5,643,1
SSA,REC,5,403,1
BOG,RCH,5,476,1
RCH,BOG,5,476,1
JFK,AUS,5,1522,3
LWY,MYY,5,104,1
AUS,JFK,5,1522,3
CGN,SAW,5,1264,3
CMH,BOS,5,640,1
MYY,LWY,5,104,1
SAW,CGN,5,1264,3
CAN,FOC,5,437,1
IAD,LHR,5,3677,8
LHR,IAD,5,3677,8
AMD,HYD,5,551,1
FOC,CAN,5,437,1
JNB,SHO,5,192,1
MPM,JNB,5,270,1
SHO,JNB,5,192,1
BOS,CMH,5,640,1
JNB,MPM,5,270,1
OAK,PDX,5,543,1
BCN,TFN,5,1364,3
CUK,SPR,5,13,1
EZE,MAD,5,6251,14
MAD,EZE,5,6251,14
TFN,BCN,5,1364,3
AUH,MAA,5,1844,4
AMS,IST,5,1360,3
ISB,JED,5,2209,5
IST,AMS,5,1360,3
MAA,AUH,5,1844,4
CLT,MSY,5,651,1
EDL,NBO,5,171,1
JJN,KWE,5,745,2
LIM,TCQ,5,617,1
MDE,CLO,5,192,1
TCQ,LIM,5,617,1
FOC,PVG,5,381,1
IAH,SAL,5,1207,3
MSY,CLT,5,651,1
SAL,IAH,5,1207,3
CGQ,CAN,5,1585,4
DME,OVB,5,1740,4
OVB,DME,5,1740,4
BTH,KNO,5,402,1
VFA,JNB,5,575,1
BOO,SVJ,5,68,1
SVJ,BOO,5,68,1
